Epoch 0, lr 0.001
Epoch 110, lr 0.001

(110,15010) 0 step loss : 0.003825
(110,15010) epoch loss : 0.003825
Epoch 111, lr 0.001

(111,15010) 0 step loss : 0.003911
(111,15010) epoch loss : 0.003911
Epoch 112, lr 0.001

(112,15010) 0 step loss : 0.003776
(112,15010) epoch loss : 0.003776
Epoch 113, lr 0.001

(113,15010) 0 step loss : 0.003833
(113,15010) epoch loss : 0.003833
Epoch 114, lr 0.001

(114,15010) 0 step loss : 0.003773
(114,15010) epoch loss : 0.003773
Epoch 115, lr 0.001

(115,15010) 0 step loss : 0.003725
(115,15010) epoch loss : 0.003725
Epoch 116, lr 0.001

(116,15010) 0 step loss : 0.003621
(116,15010) epoch loss : 0.003621
Epoch 117, lr 0.001

(117,15010) 0 step loss : 0.003657
(117,15010) epoch loss : 0.003657
Epoch 118, lr 0.001

(118,15010) 0 step loss : 0.003601
(118,15010) epoch loss : 0.003601
Epoch 119, lr 0.001

(119,15010) 0 step loss : 0.003544
(119,15010) epoch loss : 0.003544
Epoch 120, lr 0.001

(120,15010) 0 step loss : 0.003469
(120,15010) epoch loss : 0.003469
Epoch 121, lr 0.001

(121,15010) 0 step loss : 0.003473
(121,15010) epoch loss : 0.003473
Epoch 122, lr 0.001

(122,15010) 0 step loss : 0.003380
(122,15010) epoch loss : 0.003380
Epoch 123, lr 0.001

(123,15010) 0 step loss : 0.003360
(123,15010) epoch loss : 0.003360
Epoch 124, lr 0.001

(124,15010) 0 step loss : 0.003321
(124,15010) epoch loss : 0.003321
Epoch 125, lr 0.001

(125,15010) 0 step loss : 0.003273
(125,15010) epoch loss : 0.003273
Epoch 126, lr 0.001

(126,15010) 0 step loss : 0.003213
(126,15010) epoch loss : 0.003213
Epoch 127, lr 0.001

(127,15010) 0 step loss : 0.003226
(127,15010) epoch loss : 0.003226
Epoch 128, lr 0.001

(128,15010) 0 step loss : 0.003249
(128,15010) epoch loss : 0.003249
Epoch 129, lr 0.001

(129,15010) 0 step loss : 0.003203
(129,15010) epoch loss : 0.003203
Epoch 130, lr 0.001

(130,15010) 0 step loss : 0.003233
(130,15010) epoch loss : 0.003233
Epoch 131, lr 0.001

(131,15010) 0 step loss : 0.003275
(131,15010) epoch loss : 0.003275
Epoch 132, lr 0.001

(132,15010) 0 step loss : 0.003368
(132,15010) epoch loss : 0.003368
Epoch 133, lr 0.001

(133,15010) 0 step loss : 0.003248
(133,15010) epoch loss : 0.003248
Epoch 134, lr 0.001

(134,15010) 0 step loss : 0.003230
(134,15010) epoch loss : 0.003230
Epoch 135, lr 0.001

(135,15010) 0 step loss : 0.003199
(135,15010) epoch loss : 0.003199
Epoch 136, lr 0.001

(136,15010) 0 step loss : 0.003157
(136,15010) epoch loss : 0.003157
Epoch 137, lr 0.001

(137,15010) 0 step loss : 0.003207
(137,15010) epoch loss : 0.003207
Epoch 138, lr 0.001

(138,15010) 0 step loss : 0.003168
(138,15010) epoch loss : 0.003168
Epoch 139, lr 0.001

(139,15010) 0 step loss : 0.003114
(139,15010) epoch loss : 0.003114
Epoch 140, lr 0.001

(140,15010) 0 step loss : 0.003059
(140,15010) epoch loss : 0.003059
Epoch 141, lr 0.001

(141,15010) 0 step loss : 0.003092
(141,15010) epoch loss : 0.003092
Epoch 142, lr 0.001

(142,15010) 0 step loss : 0.003016
(142,15010) epoch loss : 0.003016
Epoch 143, lr 0.001

(143,15010) 0 step loss : 0.003058
(143,15010) epoch loss : 0.003058
Epoch 144, lr 0.001

(144,15010) 0 step loss : 0.002968
(144,15010) epoch loss : 0.002968
Epoch 145, lr 0.001

(145,15010) 0 step loss : 0.002969
(145,15010) epoch loss : 0.002969
Epoch 146, lr 0.001

(146,15010) 0 step loss : 0.002912
(146,15010) epoch loss : 0.002912
Epoch 147, lr 0.001

(147,15010) 0 step loss : 0.002897
(147,15010) epoch loss : 0.002897
Epoch 148, lr 0.001

(148,15010) 0 step loss : 0.002884
(148,15010) epoch loss : 0.002884
Epoch 149, lr 0.001

(149,15010) 0 step loss : 0.002894
(149,15010) epoch loss : 0.002894
Epoch 150, lr 0.001

(150,15010) 0 step loss : 0.002864
(150,15010) epoch loss : 0.002864
Epoch 151, lr 0.001

(151,15010) 0 step loss : 0.002906
(151,15010) epoch loss : 0.002906
Epoch 152, lr 0.001

(152,15010) 0 step loss : 0.002843
(152,15010) epoch loss : 0.002843
Epoch 153, lr 0.001

(153,15010) 0 step loss : 0.002810
(153,15010) epoch loss : 0.002810
Epoch 154, lr 0.001

(154,15010) 0 step loss : 0.002767
(154,15010) epoch loss : 0.002767
Epoch 155, lr 0.001

(155,15010) 0 step loss : 0.002773
(155,15010) epoch loss : 0.002773
Epoch 156, lr 0.001

(156,15010) 0 step loss : 0.002728
(156,15010) epoch loss : 0.002728
Epoch 157, lr 0.001

(157,15010) 0 step loss : 0.002735
(157,15010) epoch loss : 0.002735
Epoch 158, lr 0.001

(158,15010) 0 step loss : 0.002670
(158,15010) epoch loss : 0.002670
Epoch 159, lr 0.001

(159,15010) 0 step loss : 0.002642
(159,15010) epoch loss : 0.002642
Epoch 160, lr 0.001

(160,15010) 0 step loss : 0.002620
(160,15010) epoch loss : 0.002620
Epoch 161, lr 0.001

(161,15010) 0 step loss : 0.002593
(161,15010) epoch loss : 0.002593
Epoch 162, lr 0.001

(162,15010) 0 step loss : 0.002588
(162,15010) epoch loss : 0.002588
Epoch 163, lr 0.001

(163,15010) 0 step loss : 0.002590
(163,15010) epoch loss : 0.002590
Epoch 164, lr 0.001

(164,15010) 0 step loss : 0.002596
(164,15010) epoch loss : 0.002596
Epoch 165, lr 0.001

(165,15010) 0 step loss : 0.002563
(165,15010) epoch loss : 0.002563
Epoch 166, lr 0.001

(166,15010) 0 step loss : 0.002578
(166,15010) epoch loss : 0.002578
Epoch 167, lr 0.001

(167,15010) 0 step loss : 0.002581
(167,15010) epoch loss : 0.002581
Epoch 168, lr 0.001

(168,15010) 0 step loss : 0.002560
(168,15010) epoch loss : 0.002560
Epoch 169, lr 0.001

(169,15010) 0 step loss : 0.002580
(169,15010) epoch loss : 0.002580
Epoch 170, lr 0.001

(170,15010) 0 step loss : 0.002689
(170,15010) epoch loss : 0.002689
Epoch 171, lr 0.001

(171,15010) 0 step loss : 0.002567
(171,15010) epoch loss : 0.002567
Epoch 172, lr 0.001

(172,15010) 0 step loss : 0.002540
(172,15010) epoch loss : 0.002540
Epoch 173, lr 0.001

(173,15010) 0 step loss : 0.002553
(173,15010) epoch loss : 0.002553
Epoch 174, lr 0.001

(174,15010) 0 step loss : 0.002572
(174,15010) epoch loss : 0.002572
Epoch 175, lr 0.001

(175,15010) 0 step loss : 0.002510
