Epoch 0, lr 0.01
(116,420) 0 step loss : 0.000924
(116,420) epoch loss : 0.014780
Epoch 117, lr 0.01

(117,420) 0 step loss : 0.000909
(117,420) epoch loss : 0.014551
Epoch 118, lr 0.01

(118,420) 0 step loss : 0.000896
(118,420) epoch loss : 0.014344
Epoch 119, lr 0.01

(119,420) 0 step loss : 0.000888
(119,420) epoch loss : 0.014214
Epoch 120, lr 0.01

(120,420) 0 step loss : 0.000876
(120,420) epoch loss : 0.014016
Epoch 121, lr 0.01

(121,420) 0 step loss : 0.000871
(121,420) epoch loss : 0.013937
Epoch 122, lr 0.01

(122,420) 0 step loss : 0.000870
(122,420) epoch loss : 0.013927
Epoch 123, lr 0.01

(123,420) 0 step loss : 0.000883
(123,420) epoch loss : 0.014132
Epoch 124, lr 0.01

(124,420) 0 step loss : 0.000936
(124,420) epoch loss : 0.014982
Epoch 125, lr 0.01

(125,420) 0 step loss : 0.000916
(125,420) epoch loss : 0.014661
Epoch 126, lr 0.01

(126,420) 0 step loss : 0.000903
(126,420) epoch loss : 0.014454
Epoch 127, lr 0.01

(127,420) 0 step loss : 0.000881
(127,420) epoch loss : 0.014101
Epoch 128, lr 0.01

(128,420) 0 step loss : 0.000879
(128,420) epoch loss : 0.014067
Epoch 129, lr 0.01

(129,420) 0 step loss : 0.000864
(129,420) epoch loss : 0.013824
Epoch 130, lr 0.01

(130,420) 0 step loss : 0.000871
(130,420) epoch loss : 0.013932
Epoch 131, lr 0.01

(131,420) 0 step loss : 0.000849
(131,420) epoch loss : 0.013584
Epoch 132, lr 0.01

(132,420) 0 step loss : 0.000846
(132,420) epoch loss : 0.013542
Epoch 133, lr 0.01

(133,420) 0 step loss : 0.000880
(133,420) epoch loss : 0.014081
Epoch 134, lr 0.01

(134,420) 0 step loss : 0.000875
(134,420) epoch loss : 0.013994
Epoch 135, lr 0.01

(135,420) 0 step loss : 0.000846
(135,420) epoch loss : 0.013535
Epoch 136, lr 0.01

(136,420) 0 step loss : 0.000842
(136,420) epoch loss : 0.013480
Epoch 137, lr 0.01

(137,420) 0 step loss : 0.000826
(137,420) epoch loss : 0.013210
Epoch 138, lr 0.01

(138,420) 0 step loss : 0.000844
(138,420) epoch loss : 0.013501
Epoch 139, lr 0.01

(139,420) 0 step loss : 0.000817
(139,420) epoch loss : 0.013078
Epoch 140, lr 0.01

(140,420) 0 step loss : 0.000811
(140,420) epoch loss : 0.012977
Epoch 141, lr 0.01

(141,420) 0 step loss : 0.000822
(141,420) epoch loss : 0.013150
Epoch 142, lr 0.01

(142,420) 0 step loss : 0.000882
(142,420) epoch loss : 0.014113
Epoch 143, lr 0.01

(143,420) 0 step loss : 0.000891
(143,420) epoch loss : 0.014254
Epoch 144, lr 0.01

(144,420) 0 step loss : 0.000870
(144,420) epoch loss : 0.013913
Epoch 145, lr 0.01

(145,420) 0 step loss : 0.000842
(145,420) epoch loss : 0.013464
Epoch 146, lr 0.01

(146,420) 0 step loss : 0.000852
(146,420) epoch loss : 0.013628
Epoch 147, lr 0.01

(147,420) 0 step loss : 0.000826
(147,420) epoch loss : 0.013222
Epoch 148, lr 0.01

(148,420) 0 step loss : 0.000820
(148,420) epoch loss : 0.013114
Epoch 149, lr 0.01

(149,420) 0 step loss : 0.000815
(149,420) epoch loss : 0.013034
Epoch 150, lr 0.01

(150,420) 0 step loss : 0.000800
(150,420) epoch loss : 0.012798
Epoch 151, lr 0.01

(151,420) 0 step loss : 0.000792
(151,420) epoch loss : 0.012665
Epoch 152, lr 0.01

(152,420) 0 step loss : 0.000779
(152,420) epoch loss : 0.012466
Epoch 153, lr 0.01

(153,420) 0 step loss : 0.000775
(153,420) epoch loss : 0.012403
Epoch 154, lr 0.01

(154,420) 0 step loss : 0.000764
(154,420) epoch loss : 0.012231
Epoch 155, lr 0.01

(155,420) 0 step loss : 0.000760
(155,420) epoch loss : 0.012155
Epoch 156, lr 0.01

(156,420) 0 step loss : 0.000750
(156,420) epoch loss : 0.011993
Epoch 157, lr 0.01

(157,420) 0 step loss : 0.000753
(157,420) epoch loss : 0.012049
Epoch 158, lr 0.01

(158,420) 0 step loss : 0.000758
(158,420) epoch loss : 0.012120
Epoch 159, lr 0.01

(159,420) 0 step loss : 0.000764
(159,420) epoch loss : 0.012225
Epoch 160, lr 0.01

(160,420) 0 step loss : 0.000745
(160,420) epoch loss : 0.011919
Epoch 161, lr 0.01

(161,420) 0 step loss : 0.000746
(161,420) epoch loss : 0.011935
Epoch 162, lr 0.01

(162,420) 0 step loss : 0.000739
(162,420) epoch loss : 0.011819
Epoch 163, lr 0.01

(163,420) 0 step loss : 0.000763
(163,420) epoch loss : 0.012201
Epoch 164, lr 0.01

(164,420) 0 step loss : 0.000805
(164,420) epoch loss : 0.012876
Epoch 165, lr 0.01

(165,420) 0 step loss : 0.000786
(165,420) epoch loss : 0.012573
Epoch 166, lr 0.01

(166,420) 0 step loss : 0.000791
(166,420) epoch loss : 0.012661
Epoch 167, lr 0.01

(167,420) 0 step loss : 0.000754
(167,420) epoch loss : 0.012057
Epoch 168, lr 0.01

(168,420) 0 step loss : 0.000768
(168,420) epoch loss : 0.012287
Epoch 169, lr 0.01

(169,420) 0 step loss : 0.000757
(169,420) epoch loss : 0.012104
Epoch 170, lr 0.01

(170,420) 0 step loss : 0.000815
(170,420) epoch loss : 0.013040
Epoch 171, lr 0.01

(171,420) 0 step loss : 0.000818
(171,420) epoch loss : 0.013091
Epoch 172, lr 0.01

(172,420) 0 step loss : 0.000771
(172,420) epoch loss : 0.012335
Epoch 173, lr 0.01

(173,420) 0 step loss : 0.000787
(173,420) epoch loss : 0.012590
Epoch 174, lr 0.01

(174,420) 0 step loss : 0.000771
(174,420) epoch loss : 0.012332
Epoch 175, lr 0.01

(175,420) 0 step loss : 0.000753
(175,420) epoch loss : 0.012051
Epoch 176, lr 0.01

(176,420) 0 step loss : 0.000753
(176,420) epoch loss : 0.012048
Epoch 177, lr 0.01

(177,420) 0 step loss : 0.000735
(177,420) epoch loss : 0.011756
Epoch 178, lr 0.01

(178,420) 0 step loss : 0.000737
(178,420) epoch loss : 0.011788
Epoch 179, lr 0.01

(179,420) 0 step loss : 0.000727
(179,420) epoch loss : 0.011637
Epoch 180, lr 0.01

(180,420) 0 step loss : 0.000724
(180,420) epoch loss : 0.011578
Epoch 181, lr 0.01

(181,420) 0 step loss : 0.000703
(181,420) epoch loss : 0.011254
Epoch 182, lr 0.01

(182,420) 0 step loss : 0.000704
(182,420) epoch loss : 0.011271
Epoch 183, lr 0.01

(183,420) 0 step loss : 0.000703
(183,420) epoch loss : 0.011255
Epoch 184, lr 0.01

(184,420) 0 step loss : 0.000711
(184,420) epoch loss : 0.011383
Epoch 185, lr 0.01

(185,420) 0 step loss : 0.000729
(185,420) epoch loss : 0.011658
Epoch 186, lr 0.01

(186,420) 0 step loss : 0.000688
(186,420) epoch loss : 0.011009
Epoch 187, lr 0.01

(187,420) 0 step loss : 0.000693
(187,420) epoch loss : 0.011094
Epoch 188, lr 0.01

(188,420) 0 step loss : 0.000690
(188,420) epoch loss : 0.011039
Epoch 189, lr 0.01

(189,420) 0 step loss : 0.000675
(189,420) epoch loss : 0.010808
Epoch 190, lr 0.01

(190,420) 0 step loss : 0.000670
(190,420) epoch loss : 0.010725
Epoch 191, lr 0.01

(191,420) 0 step loss : 0.000670
(191,420) epoch loss : 0.010717
Epoch 192, lr 0.01

(192,420) 0 step loss : 0.000674
(192,420) epoch loss : 0.010785
Epoch 193, lr 0.01

(193,420) 0 step loss : 0.000667
(193,420) epoch loss : 0.010668
Epoch 194, lr 0.01

(194,420) 0 step loss : 0.000665
(194,420) epoch loss : 0.010633
Epoch 195, lr 0.01

(195,420) 0 step loss : 0.000689
(195,420) epoch loss : 0.011023
Epoch 196, lr 0.01

(196,420) 0 step loss : 0.000714
(196,420) epoch loss : 0.011430
Epoch 197, lr 0.01

(197,420) 0 step loss : 0.000754
(197,420) epoch loss : 0.012061
Epoch 198, lr 0.01

(198,420) 0 step loss : 0.000783
(198,420) epoch loss : 0.012527
Epoch 199, lr 0.01

(199,420) 0 step loss : 0.000760
(199,420) epoch loss : 0.012157
Epoch 200, lr 0.01

(200,420) 0 step loss : 0.000757
(200,420) epoch loss : 0.012109
Epoch 201, lr 0.01

(201,420) 0 step loss : 0.000758
(201,420) epoch loss : 0.012129
Epoch 202, lr 0.01

(202,420) 0 step loss : 0.000734
(202,420) epoch loss : 0.011738
Epoch 203, lr 0.01

(203,420) 0 step loss : 0.000725
(203,420) epoch loss : 0.011596
Epoch 204, lr 0.01

(204,420) 0 step loss : 0.000716
(204,420) epoch loss : 0.011450
Epoch 205, lr 0.01

(205,420) 0 step loss : 0.000701
(205,420) epoch loss : 0.011221
Epoch 206, lr 0.01

(206,420) 0 step loss : 0.000682
(206,420) epoch loss : 0.010912
Epoch 207, lr 0.01

(207,420) 0 step loss : 0.000681
(207,420) epoch loss : 0.010900
Epoch 208, lr 0.01

(208,420) 0 step loss : 0.000671
(208,420) epoch loss : 0.010736
Epoch 209, lr 0.01

(209,420) 0 step loss : 0.000657
(209,420) epoch loss : 0.010515
Epoch 210, lr 0.01

(210,420) 0 step loss : 0.000648
(210,420) epoch loss : 0.010368
Epoch 211, lr 0.01

(211,420) 0 step loss : 0.000640
(211,420) epoch loss : 0.010248
Epoch 212, lr 0.01

(212,420) 0 step loss : 0.000634
(212,420) epoch loss : 0.010137
Epoch 213, lr 0.01

(213,420) 0 step loss : 0.000625
(213,420) epoch loss : 0.009995
Epoch 214, lr 0.01

(214,420) 0 step loss : 0.000617
(214,420) epoch loss : 0.009871
Epoch 215, lr 0.01

(215,420) 0 step loss : 0.000618
(215,420) epoch loss : 0.009886
Epoch 216, lr 0.01

(216,420) 0 step loss : 0.000668
(216,420) epoch loss : 0.010687
Epoch 217, lr 0.01

(217,420) 0 step loss : 0.000727
(217,420) epoch loss : 0.011625
Epoch 218, lr 0.01

(218,420) 0 step loss : 0.000697
(218,420) epoch loss : 0.011145
Epoch 219, lr 0.01

(219,420) 0 step loss : 0.000709
(219,420) epoch loss : 0.011346
Epoch 220, lr 0.01

(220,420) 0 step loss : 0.000659
(220,420) epoch loss : 0.010548
Epoch 221, lr 0.01

(221,420) 0 step loss : 0.000675
(221,420) epoch loss : 0.010797
Epoch 222, lr 0.01

(222,420) 0 step loss : 0.000677
(222,420) epoch loss : 0.010829
Epoch 223, lr 0.01

(223,420) 0 step loss : 0.000668
(223,420) epoch loss : 0.010681
Epoch 224, lr 0.01

(224,420) 0 step loss : 0.000653
(224,420) epoch loss : 0.010454
Epoch 225, lr 0.01

(225,420) 0 step loss : 0.000647
(225,420) epoch loss : 0.010351
Epoch 226, lr 0.01

(226,420) 0 step loss : 0.000643
(226,420) epoch loss : 0.010286
Epoch 227, lr 0.01

(227,420) 0 step loss : 0.000624
(227,420) epoch loss : 0.009987
Epoch 228, lr 0.01

(228,420) 0 step loss : 0.000625
(228,420) epoch loss : 0.009999
Epoch 229, lr 0.01

(229,420) 0 step loss : 0.000621
(229,420) epoch loss : 0.009935
Epoch 230, lr 0.01

(230,420) 0 step loss : 0.000619
(230,420) epoch loss : 0.009911
Epoch 231, lr 0.01

(231,420) 0 step loss : 0.000607
(231,420) epoch loss : 0.009710
Epoch 232, lr 0.01

(232,420) 0 step loss : 0.000605
(232,420) epoch loss : 0.009680
Epoch 233, lr 0.01

(233,420) 0 step loss : 0.000590
(233,420) epoch loss : 0.009448
Epoch 234, lr 0.01

(234,420) 0 step loss : 0.000591
(234,420) epoch loss : 0.009463
Epoch 235, lr 0.01

(235,420) 0 step loss : 0.000585
(235,420) epoch loss : 0.009356
Epoch 236, lr 0.01

(236,420) 0 step loss : 0.000584
(236,420) epoch loss : 0.009349
Epoch 237, lr 0.01

(237,420) 0 step loss : 0.000578
(237,420) epoch loss : 0.009249
Epoch 238, lr 0.01

(238,420) 0 step loss : 0.000567
(238,420) epoch loss : 0.009080
Epoch 239, lr 0.01

(239,420) 0 step loss : 0.000566
(239,420) epoch loss : 0.009056
Epoch 240, lr 0.01

(240,420) 0 step loss : 0.000560
(240,420) epoch loss : 0.008956
Epoch 241, lr 0.01

(241,420) 0 step loss : 0.000556
(241,420) epoch loss : 0.008904
Epoch 242, lr 0.01

(242,420) 0 step loss : 0.000581
(242,420) epoch loss : 0.009300
Epoch 243, lr 0.01

(243,420) 0 step loss : 0.000600
(243,420) epoch loss : 0.009604
Epoch 244, lr 0.01

(244,420) 0 step loss : 0.000640
(244,420) epoch loss : 0.010241
Epoch 245, lr 0.01

(245,420) 0 step loss : 0.000632
(245,420) epoch loss : 0.010116
Epoch 246, lr 0.01

(246,420) 0 step loss : 0.000646
(246,420) epoch loss : 0.010333
Epoch 247, lr 0.01

(247,420) 0 step loss : 0.000666
(247,420) epoch loss : 0.010657
Epoch 248, lr 0.01

(248,420) 0 step loss : 0.000633
(248,420) epoch loss : 0.010129
Epoch 249, lr 0.01

(249,420) 0 step loss : 0.000632
(249,420) epoch loss : 0.010115
Epoch 250, lr 0.01

(250,420) 0 step loss : 0.000608
(250,420) epoch loss : 0.009731
Epoch 251, lr 0.01

(251,420) 0 step loss : 0.000603
(251,420) epoch loss : 0.009640
Epoch 252, lr 0.01

(252,420) 0 step loss : 0.000590
(252,420) epoch loss : 0.009437
Epoch 253, lr 0.01

(253,420) 0 step loss : 0.000581
(253,420) epoch loss : 0.009304
Epoch 254, lr 0.01

(254,420) 0 step loss : 0.000582
(254,420) epoch loss : 0.009315
Epoch 255, lr 0.01

(255,420) 0 step loss : 0.000595
(255,420) epoch loss : 0.009521
Epoch 256, lr 0.01

(256,420) 0 step loss : 0.000594
(256,420) epoch loss : 0.009507
Epoch 257, lr 0.01

(257,420) 0 step loss : 0.000619
(257,420) epoch loss : 0.009907
Epoch 258, lr 0.01

(258,420) 0 step loss : 0.000609
(258,420) epoch loss : 0.009739
Epoch 259, lr 0.01

(259,420) 0 step loss : 0.000591
(259,420) epoch loss : 0.009461
Epoch 260, lr 0.01

(260,420) 0 step loss : 0.000595
(260,420) epoch loss : 0.009517
Epoch 261, lr 0.01

(261,420) 0 step loss : 0.000570
(261,420) epoch loss : 0.009123
Epoch 262, lr 0.01

(262,420) 0 step loss : 0.000569
(262,420) epoch loss : 0.009109
Epoch 263, lr 0.01

(263,420) 0 step loss : 0.000567
(263,420) epoch loss : 0.009079
Epoch 264, lr 0.01

(264,420) 0 step loss : 0.000561
(264,420) epoch loss : 0.008978
Epoch 265, lr 0.01

(265,420) 0 step loss : 0.000550
(265,420) epoch loss : 0.008798
Epoch 266, lr 0.01

(266,420) 0 step loss : 0.000536
(266,420) epoch loss : 0.008580
Epoch 267, lr 0.01

(267,420) 0 step loss : 0.000533
(267,420) epoch loss : 0.008531
Epoch 268, lr 0.01

(268,420) 0 step loss : 0.000528
(268,420) epoch loss : 0.008441
Epoch 269, lr 0.01

(269,420) 0 step loss : 0.000526
(269,420) epoch loss : 0.008421
Epoch 270, lr 0.01

(270,420) 0 step loss : 0.000530
(270,420) epoch loss : 0.008487
Epoch 271, lr 0.01

(271,420) 0 step loss : 0.000523
(271,420) epoch loss : 0.008375
Epoch 272, lr 0.01

(272,420) 0 step loss : 0.000528
(272,420) epoch loss : 0.008450
Epoch 273, lr 0.01

(273,420) 0 step loss : 0.000523
(273,420) epoch loss : 0.008373
Epoch 274, lr 0.01

(274,420) 0 step loss : 0.000521
(274,420) epoch loss : 0.008329
Epoch 275, lr 0.01

(275,420) 0 step loss : 0.000538
(275,420) epoch loss : 0.008609
Epoch 276, lr 0.01

(276,420) 0 step loss : 0.000592
(276,420) epoch loss : 0.009476
Epoch 277, lr 0.01

(277,420) 0 step loss : 0.000630
(277,420) epoch loss : 0.010087
Epoch 278, lr 0.01

(278,420) 0 step loss : 0.000647
(278,420) epoch loss : 0.010354
Epoch 279, lr 0.01

