Epoch 0, lr 0.001
(84,15010) 0 step loss : 0.057152
(84,15010) epoch loss : 0.057152
Epoch 85, lr 0.001

(85,15010) 0 step loss : 0.056580
(85,15010) epoch loss : 0.056580
Epoch 86, lr 0.001

(86,15010) 0 step loss : 0.057620
(86,15010) epoch loss : 0.057620
Epoch 87, lr 0.001

(87,15010) 0 step loss : 0.059208
(87,15010) epoch loss : 0.059208
Epoch 88, lr 0.001

(88,15010) 0 step loss : 0.060255
(88,15010) epoch loss : 0.060255
Epoch 89, lr 0.001

(89,15010) 0 step loss : 0.057308
(89,15010) epoch loss : 0.057308
Epoch 90, lr 0.001

(90,15010) 0 step loss : 0.057201
(90,15010) epoch loss : 0.057201
Epoch 91, lr 0.001

(91,15010) 0 step loss : 0.058834
(91,15010) epoch loss : 0.058834
Epoch 92, lr 0.001

(92,15010) 0 step loss : 0.055461
(92,15010) epoch loss : 0.055461
Epoch 93, lr 0.001

(93,15010) 0 step loss : 0.053635
(93,15010) epoch loss : 0.053635
Epoch 94, lr 0.001

(94,15010) 0 step loss : 0.053324
(94,15010) epoch loss : 0.053324
Epoch 95, lr 0.001

(95,15010) 0 step loss : 0.052214
(95,15010) epoch loss : 0.052214
Epoch 96, lr 0.001

(96,15010) 0 step loss : 0.051224
(96,15010) epoch loss : 0.051224
Epoch 97, lr 0.001

(97,15010) 0 step loss : 0.050648
(97,15010) epoch loss : 0.050648
Epoch 98, lr 0.001

(98,15010) 0 step loss : 0.049335
(98,15010) epoch loss : 0.049335
Epoch 99, lr 0.001

(99,15010) 0 step loss : 0.049396
(99,15010) epoch loss : 0.049396
Epoch 100, lr 0.001

(100,15010) 0 step loss : 0.048327
(100,15010) epoch loss : 0.048327
Epoch 101, lr 0.001

(101,15010) 0 step loss : 0.047788
(101,15010) epoch loss : 0.047788
Epoch 102, lr 0.001

(102,15010) 0 step loss : 0.047695
(102,15010) epoch loss : 0.047695
Epoch 103, lr 0.001

(103,15010) 0 step loss : 0.047351
(103,15010) epoch loss : 0.047351
Epoch 104, lr 0.001

(104,15010) 0 step loss : 0.047944
(104,15010) epoch loss : 0.047944
Epoch 105, lr 0.001

(105,15010) 0 step loss : 0.047949
(105,15010) epoch loss : 0.047949
Epoch 106, lr 0.001

(106,15010) 0 step loss : 0.047413
(106,15010) epoch loss : 0.047413
Epoch 107, lr 0.001

(107,15010) 0 step loss : 0.046157
(107,15010) epoch loss : 0.046157
Epoch 108, lr 0.001

(108,15010) 0 step loss : 0.046087
(108,15010) epoch loss : 0.046087
Epoch 109, lr 0.001

