Epoch 0, lr 0.0005
Epoch 119, lr 0.0005

(119,420) 0 step loss : 0.000766
(119,420) epoch loss : 0.012256
Epoch 120, lr 0.0005

(120,420) 0 step loss : 0.000760
(120,420) epoch loss : 0.012160
Epoch 121, lr 0.0005

(121,420) 0 step loss : 0.000744
(121,420) epoch loss : 0.011901
Epoch 122, lr 0.0005

(122,420) 0 step loss : 0.000739
(122,420) epoch loss : 0.011819
Epoch 123, lr 0.0005

(123,420) 0 step loss : 0.000746
(123,420) epoch loss : 0.011929
Epoch 124, lr 0.0005

(124,420) 0 step loss : 0.000739
(124,420) epoch loss : 0.011818
Epoch 125, lr 0.0005

(125,420) 0 step loss : 0.000732
(125,420) epoch loss : 0.011718
Epoch 126, lr 0.0005

(126,420) 0 step loss : 0.000729
(126,420) epoch loss : 0.011670
Epoch 127, lr 0.0005

(127,420) 0 step loss : 0.000724
(127,420) epoch loss : 0.011579
Epoch 128, lr 0.0005

(128,420) 0 step loss : 0.000731
(128,420) epoch loss : 0.011702
Epoch 129, lr 0.0005

(129,420) 0 step loss : 0.000734
(129,420) epoch loss : 0.011751
Epoch 130, lr 0.0005

(130,420) 0 step loss : 0.000732
(130,420) epoch loss : 0.011710
Epoch 131, lr 0.0005

(131,420) 0 step loss : 0.000715
(131,420) epoch loss : 0.011442
Epoch 132, lr 0.0005

(132,420) 0 step loss : 0.000711
(132,420) epoch loss : 0.011373
Epoch 133, lr 0.0005

(133,420) 0 step loss : 0.000707
(133,420) epoch loss : 0.011317
Epoch 134, lr 0.0005

(134,420) 0 step loss : 0.000706
(134,420) epoch loss : 0.011301
Epoch 135, lr 0.0005

(135,420) 0 step loss : 0.000701
(135,420) epoch loss : 0.011215
Epoch 136, lr 0.0005

(136,420) 0 step loss : 0.000698
(136,420) epoch loss : 0.011169
Epoch 137, lr 0.0005

(137,420) 0 step loss : 0.000692
(137,420) epoch loss : 0.011072
Epoch 138, lr 0.0005

(138,420) 0 step loss : 0.000690
(138,420) epoch loss : 0.011036
Epoch 139, lr 0.0005

(139,420) 0 step loss : 0.000694
(139,420) epoch loss : 0.011100
Epoch 140, lr 0.0005

(140,420) 0 step loss : 0.000690
(140,420) epoch loss : 0.011039
Epoch 141, lr 0.0005

(141,420) 0 step loss : 0.000691
(141,420) epoch loss : 0.011062
Epoch 142, lr 0.0005

(142,420) 0 step loss : 0.000693
(142,420) epoch loss : 0.011084
Epoch 143, lr 0.0005

(143,420) 0 step loss : 0.000681
(143,420) epoch loss : 0.010895
Epoch 144, lr 0.0005

(144,420) 0 step loss : 0.000685
(144,420) epoch loss : 0.010965
Epoch 145, lr 0.0005

(145,420) 0 step loss : 0.000685
(145,420) epoch loss : 0.010956
Epoch 146, lr 0.0005

(146,420) 0 step loss : 0.000680
(146,420) epoch loss : 0.010885
Epoch 147, lr 0.0005

(147,420) 0 step loss : 0.000674
(147,420) epoch loss : 0.010779
Epoch 148, lr 0.0005

(148,420) 0 step loss : 0.000677
(148,420) epoch loss : 0.010838
Epoch 149, lr 0.0005

(149,420) 0 step loss : 0.000682
(149,420) epoch loss : 0.010909
Epoch 150, lr 0.0005

(150,420) 0 step loss : 0.000686
(150,420) epoch loss : 0.010980
Epoch 151, lr 0.0005

